WSPD,WVHT,APD
7.9,3.57,7.95
7.7,3.56,8.07
8.6,3.93,8.13
9.0,3.96,8.16
8.7,3.73,7.86
8.6,3.67,7.78
8.7,3.67,7.70
10.0,3.74,7.47
9.2,3.38,7.24
9.0,3.38,7.12
9.9,3.31,6.97
8.5,3.38,6.73
10.1,3.52,6.83
8.8,3.54,7.03
9.2,3.90,7.05
10.7,3.65,7.13
9.1,3.96,7.25
11.3,3.96,7.37
8.9,3.66,7.06
7.2,3.87,7.33
7.0,3.77,7.31
6.1,3.77,7.59
5.8,3.78,7.52
6.3,3.44,7.19
7.7,3.50,7.43
7.5,3.30,7.25
8.8,3.22,7.04
9.5,3.30,7.01
12.1,3.06,6.65
13.7,3.20,6.48
15.3,3.18,6.14
14.7,99.00,99.00
16.0,99.00,99.00
16.9,99.00,99.00
16.8,99.00,99.00
16.3,4.52,6.67
15.4,4.23,6.31
14.1,4.13,6.46
13.3,4.33,6.50
13.7,3.79,6.41
11.0,3.88,6.61
11.0,3.79,6.66
9.3,3.63,6.65
11.5,3.75,6.83
12.1,4.39,7.30
12.8,3.88,6.90
11.9,4.35,7.10
11.8,3.60,6.81
11.1,4.00,6.92
9.5,4.10,7.30
7.1,3.72,7.04
10.0,3.50,6.68
8.9,3.73,7.13
8.9,3.87,7.16
9.0,3.41,6.95
8.8,3.63,7.05
8.5,3.33,6.70
7.2,3.26,6.74
6.6,3.03,6.87
4.8,2.96,6.71
3.6,3.49,7.28
6.8,3.22,7.00
4.6,3.47,7.30
5.7,2.84,6.75
4.2,3.17,6.92
5.6,3.25,6.89
5.9,2.85,6.84
5.4,2.83,6.83
7.6,2.71,6.79
6.0,2.60,6.73
5.9,2.34,6.13
5.2,2.51,6.74
5.0,2.39,6.41
5.1,2.39,6.76
5.3,2.64,7.09
7.3,2.57,6.70
4.5,2.69,6.80
5.2,2.69,6.57
3.5,2.50,6.43
4.9,2.62,6.83
5.5,2.62,6.70
5.6,2.47,6.88
4.7,2.74,6.92
7.4,2.69,6.82
2.5,2.58,6.87
6.7,2.01,6.34
3.9,2.22,6.59
6.5,2.34,6.68
7.6,2.08,6.48
7.9,2.06,6.13
8.0,2.15,6.11
7.9,2.00,5.84
8.1,2.17,6.13
6.6,2.07,6.11
8.2,2.08,5.89
8.2,2.15,6.14
8.1,2.01,5.58
7.5,1.94,5.81
8.0,1.96,5.71
8.2,1.87,5.61
7.9,1.88,5.38
7.6,1.73,5.16
8.4,1.87,5.09
7.0,1.83,5.64
8.0,1.72,5.27
9.9,1.74,4.85
9.4,1.89,5.23
10.4,1.80,4.94
9.6,1.96,5.03
9.7,2.11,5.17
9.4,2.07,5.22
10.6,1.98,5.01
10.0,2.21,5.27
10.3,2.02,5.03
10.0,1.96,4.92
10.2,2.19,5.55
11.4,2.28,5.41
12.4,2.53,5.36
8.9,2.63,5.51
7.9,2.39,5.26
7.4,2.39,5.46
7.7,2.42,5.48
8.2,2.48,5.59
7.0,2.40,5.72
5.1,2.28,5.80
4.4,2.15,5.91
1.9,2.14,6.12
1.7,2.15,6.32
0.9,2.16,6.20
1.4,2.21,6.41
2.6,2.31,6.59
3.3,1.97,6.44
6.5,2.02,6.73
7.8,1.96,6.34
9.8,1.97,5.61
10.7,2.01,5.45
10.5,2.00,5.23
12.3,2.05,5.08
13.7,2.28,5.10
14.1,2.84,5.41
15.4,2.99,5.49
16.4,3.40,5.62
18.1,4.06,5.89
18.6,4.84,6.47
17.9,5.37,6.87
17.8,5.42,7.13
17.5,6.63,7.84
17.4,6.64,7.93
18.4,6.91,8.31
17.7,7.56,8.74
14.1,8.56,9.46
10.4,8.26,9.69
9.7,8.26,9.98
9.3,8.35,10.27
10.2,8.45,10.60
11.1,8.22,10.35
11.2,8.43,10.56
12.6,8.24,10.34
13.6,7.91,9.88
14.1,8.19,10.18
14.6,8.05,9.80
14.6,7.85,9.71
14.9,9.03,10.19
15.3,7.93,9.68
15.4,8.74,10.04
15.3,9.04,10.03
14.8,9.53,10.28
14.9,8.87,10.00
15.4,7.99,9.62
15.4,9.02,10.32
14.8,8.71,9.78
13.2,8.85,10.41
14.0,7.77,9.79
13.0,6.88,8.75
13.0,6.93,9.13
11.9,7.86,9.97
12.2,6.93,9.48
9.4,7.81,9.95
10.0,7.98,9.83
9.5,7.21,9.53
9.8,6.84,9.37
8.4,6.79,9.51
7.3,6.85,9.65
8.3,5.33,8.81
8.7,5.08,8.47
9.2,5.61,8.90
10.0,5.41,8.81
10.2,5.02,8.40
10.5,5.42,8.99
10.2,5.15,8.40
10.9,5.09,8.08
11.7,4.63,7.56
13.1,4.81,7.49
13.2,4.63,7.43
13.4,4.68,7.41
14.5,4.40,7.05
15.0,4.83,7.31
14.9,5.15,7.36
16.0,5.09,7.33
15.6,5.23,7.39
15.8,5.12,7.32
15.4,6.11,7.73
15.4,5.38,7.29
14.4,5.51,7.52
14.5,6.43,8.14
13.7,5.82,7.77
12.1,5.81,8.17
11.4,5.80,8.15
10.2,5.68,8.29
10.3,5.67,8.44
9.9,6.32,9.21
9.8,7.29,9.91
10.6,6.83,9.48
9.4,6.80,9.87
8.7,6.40,9.54
7.8,6.18,9.62
8.0,4.98,8.40
7.8,6.47,9.79
6.6,5.08,8.66
7.0,5.15,8.80
5.9,4.95,8.89
6.7,3.87,7.87
4.9,4.28,8.18
3.4,4.23,8.40
4.8,3.62,8.07
3.3,4.00,8.35
4.5,3.98,8.62
5.9,4.02,8.64
7.9,4.07,8.60
8.4,3.83,8.06
8.6,3.63,7.73
10.6,3.38,7.39
11.6,3.63,7.16
12.4,3.08,6.24
13.2,3.53,6.55
13.5,3.30,6.04
14.5,3.61,6.23
15.5,3.89,6.32
15.4,4.16,6.61
14.7,4.54,6.66
14.5,4.23,6.62
14.4,4.40,6.54
13.4,4.27,6.65
12.2,4.75,7.25
12.4,4.86,7.29
11.5,4.42,7.16
11.2,4.43,7.28
11.4,4.40,7.13
9.8,4.43,7.24
8.2,4.46,7.23
8.7,4.26,7.17
9.1,4.46,7.51
7.0,4.50,7.65
7.7,4.03,7.51
8.0,3.83,7.48
8.5,3.89,7.57
8.5,4.06,7.70
9.2,4.17,7.79
9.5,4.41,8.33
9.9,4.73,8.48
10.7,5.05,8.49
11.5,5.17,8.42
10.3,5.28,8.42
11.0,5.37,8.52
11.5,5.38,8.51
11.9,4.74,7.67
12.8,4.42,7.42
14.0,4.68,7.55
16.8,4.67,7.11
17.2,4.89,7.02
17.6,5.61,7.36
19.3,6.76,8.13
18.8,6.67,7.79
20.0,7.54,8.41
21.7,8.58,8.88
22.7,8.03,8.61
22.4,10.06,9.58
22.0,10.60,10.16
18.4,11.00,10.19
17.1,11.50,10.83
15.2,11.02,10.80
14.8,10.01,10.75
13.2,10.88,11.46
11.2,9.50,11.14
10.6,8.46,10.42
9.6,7.20,9.50
9.4,8.18,10.45
7.6,8.04,10.25
8.1,7.83,10.67
8.5,7.14,9.84
8.7,7.17,9.93
8.0,6.29,9.32
7.6,7.24,9.62
6.1,6.06,9.47
5.8,6.03,9.53
4.7,6.21,10.02
4.1,5.38,9.40
6.0,4.88,9.66
9.9,5.33,9.46
9.4,4.98,8.93
8.3,5.62,9.48
9.7,4.81,8.77
9.9,4.98,8.97
9.3,4.36,8.46
10.1,3.97,7.81
10.9,4.14,8.03
11.2,4.37,8.22
10.9,3.96,7.74
11.9,3.88,7.37
12.1,4.02,7.38
12.3,4.08,7.29
12.1,4.44,7.44
12.6,4.32,7.36
11.6,4.40,7.30
10.8,4.19,7.04
12.7,4.68,7.56
13.1,4.40,7.25
13.4,4.43,7.23
14.1,4.12,6.57
14.0,4.64,6.98
13.3,4.19,6.66
12.4,4.41,6.96
11.0,4.14,6.69
10.4,5.03,7.58
8.8,4.93,7.75
9.2,4.19,7.30
10.0,3.93,7.34
10.5,4.18,7.36
12.1,4.79,7.75
13.1,4.83,7.84
13.4,4.79,7.49
13.3,4.99,7.45
13.2,5.99,8.38
14.5,5.83,8.33
13.7,6.02,7.97
13.5,6.08,7.95
