WSPD,WVHT,APD
8.2,2.21,5.86
6.9,2.06,5.63
7.2,2.11,5.91
8.5,1.92,5.88
7.6,1.89,5.72
8.3,1.89,5.81
7.7,1.82,5.63
6.4,1.72,5.67
7.7,1.74,5.65
8.2,1.77,5.45
7.3,1.55,5.23
5.9,1.58,5.34
7.3,1.69,5.54
5.8,1.74,5.60
7.1,1.75,5.69
6.2,1.81,5.95
5.4,1.74,5.86
7.3,1.61,5.51
7.6,1.64,5.56
8.7,1.50,5.48
8.6,1.66,5.37
7.4,1.70,5.49
6.4,1.71,5.44
5.1,1.58,5.22
4.8,1.57,5.55
5.0,1.55,5.76
4.7,1.44,5.75
4.1,1.49,5.98
3.2,1.44,6.03
4.4,1.46,5.94
4.3,1.34,6.04
3.9,1.44,6.26
4.0,1.48,6.52
3.2,1.44,6.18
3.8,1.36,6.36
3.4,1.53,6.52
3.3,1.42,6.49
3.0,1.49,6.62
3.3,1.37,6.71
2.9,1.37,6.63
3.5,1.24,6.55
2.8,1.22,6.58
3.9,1.37,6.77
4.2,1.26,6.63
3.0,1.30,6.64
2.8,1.43,6.82
2.7,1.40,6.70
1.9,1.42,6.99
2.6,1.22,6.54
4.1,1.16,6.65
3.9,1.19,6.95
3.9,1.12,6.89
4.1,1.11,6.89
5.0,1.14,6.97
4.6,1.09,6.65
5.4,1.08,6.51
4.8,1.20,6.60
3.7,1.15,6.45
3.2,1.11,6.52
3.9,1.10,6.35
2.6,1.01,6.09
2.0,1.04,6.38
1.9,1.02,6.34
1.8,1.03,6.51
1.2,1.03,6.44
1.6,0.97,6.24
2.7,0.97,6.32
3.5,0.98,6.32
2.3,0.95,6.21
2.6,1.04,6.10
3.7,0.96,6.04
3.2,1.02,6.06
3.9,1.01,6.22
3.8,1.00,6.45
4.0,0.92,6.20
4.9,0.96,6.28
4.7,1.03,6.14
4.1,1.01,6.07
4.5,1.04,6.15
4.9,1.04,5.98
5.4,1.04,5.79
4.6,1.11,5.90
4.2,1.25,5.98
4.2,1.23,5.95
3.1,1.14,5.89
2.9,1.10,6.04
2.5,1.06,6.04
2.2,1.07,6.39
2.9,0.98,6.39
3.4,1.04,6.66
3.2,0.96,6.34
3.5,0.97,6.47
3.8,0.97,6.44
4.3,0.93,6.31
5.7,0.93,5.78
5.6,0.92,5.82
4.2,0.90,5.56
3.7,0.92,5.78
2.9,0.93,6.14
2.9,0.80,5.78
2.9,0.85,5.95
3.1,0.88,5.97
3.5,0.89,6.02
4.1,0.81,5.95
4.5,0.86,5.95
4.0,0.81,5.84
5.0,0.78,5.46
5.1,0.79,5.44
5.6,0.79,5.51
6.0,0.81,5.19
6.0,0.82,5.03
6.0,0.82,4.89
5.8,0.81,5.02
6.2,0.81,4.74
6.3,0.81,4.81
6.8,0.81,4.60
7.6,0.92,4.92
7.2,0.88,4.45
6.0,1.00,5.01
6.6,0.93,4.94
6.2,0.94,5.16
5.6,1.00,5.05
5.7,0.96,5.10
5.8,1.03,5.05
5.8,1.01,4.98
5.4,1.11,4.92
4.9,1.14,4.96
4.0,1.06,5.21
3.2,1.00,5.05
5.0,1.02,5.39
5.5,0.99,5.19
5.9,1.01,5.27
5.9,1.05,5.31
6.3,1.02,4.97
5.0,1.10,5.15
5.6,1.12,5.33
5.3,1.06,5.32
5.8,1.00,5.23
5.1,0.97,4.99
5.9,0.99,5.23
6.4,0.96,5.05
6.4,0.98,5.01
5.8,1.04,4.90
5.5,1.05,5.00
5.0,1.10,5.04
5.3,1.10,5.11
5.3,1.14,5.26
6.0,1.15,5.20
6.2,1.19,5.30
6.1,1.21,5.49
6.1,1.18,5.31
6.6,1.21,5.30
7.2,1.19,5.27
7.4,1.28,5.22
7.5,1.27,5.22
7.5,1.28,5.09
7.4,1.37,5.15
6.3,1.33,5.21
6.7,1.36,5.39
6.1,1.49,5.73
6.0,1.50,5.79
6.8,1.55,5.77
5.9,1.60,5.81
5.5,1.55,5.82
4.6,1.57,5.88
3.8,1.60,5.94
4.1,1.42,5.70
5.4,1.51,5.91
4.8,1.43,5.95
4.5,1.50,6.05
5.1,1.61,6.35
5.6,1.63,6.50
5.4,1.74,6.59
5.1,1.79,6.73
3.7,1.80,6.84
3.3,1.71,6.48
4.4,1.49,6.54
4.2,1.57,6.65
4.7,1.66,6.75
4.2,1.67,6.70
3.6,1.66,6.78
2.8,1.43,6.53
1.8,1.41,6.55
2.0,1.26,6.63
2.2,1.28,6.48
1.8,1.34,6.79
2.5,1.25,6.57
0.9,1.24,6.69
1.5,1.34,6.67
1.6,1.29,6.74
1.6,1.26,6.66
1.7,1.27,6.76
1.9,1.24,6.70
2.7,1.15,6.77
1.7,1.24,6.87
1.5,1.33,6.66
2.8,1.24,6.72
2.4,1.22,6.70
1.2,1.32,6.70
2.0,1.26,6.51
4.0,1.27,6.33
4.1,1.26,6.12
4.3,1.37,6.39
4.0,1.31,6.16
5.8,1.38,6.04
8.4,1.28,5.60
8.4,1.39,5.56
8.8,1.23,5.32
8.3,1.32,5.39
7.9,1.36,5.53
8.1,1.24,5.39
7.7,1.33,5.52
7.8,1.36,5.50
7.5,1.39,5.20
7.5,1.29,4.79
7.0,1.32,5.08
7.4,1.28,4.96
7.7,1.24,5.60
3.3,1.15,5.80
7.0,1.19,6.09
6.3,1.28,5.48
7.1,1.31,5.41
7.4,1.30,5.07
7.6,1.36,5.13
7.9,1.33,5.17
7.5,1.34,5.22
6.7,1.33,5.23
6.3,1.25,5.06
6.2,1.19,5.12
6.7,1.26,5.35
6.3,1.21,5.50
6.0,1.17,5.53
5.7,1.08,5.67
4.8,1.16,5.61
5.0,1.17,5.63
4.8,1.24,5.46
4.7,1.27,5.27
3.9,1.30,5.14
3.8,1.35,5.31
3.5,1.30,5.39
3.0,1.27,5.48
2.1,1.27,5.46
7.6,1.26,5.53
8.8,1.32,5.06
7.9,1.24,4.98
7.7,1.25,5.02
8.0,1.28,5.28
8.3,1.35,5.32
7.3,1.30,5.13
7.0,1.33,5.09
6.1,1.23,4.91
6.3,1.25,5.15
5.4,1.23,5.30
6.2,1.15,5.12
5.6,1.18,5.20
5.5,1.13,5.36
4.5,1.10,5.33
4.9,1.12,5.42
4.4,1.05,5.33
4.6,1.04,5.39
6.6,1.15,5.35
5.8,1.06,4.93
6.6,1.16,5.04
5.9,1.12,5.11
6.0,1.16,5.20
6.1,1.13,5.19
5.8,1.11,5.36
5.7,1.02,5.28
5.8,1.12,5.54
5.3,1.08,5.46
6.1,1.04,5.27
5.3,1.09,5.44
5.2,1.06,5.62
6.2,1.14,5.71
7.0,1.14,5.53
7.0,1.12,5.14
6.9,1.10,5.18
6.0,1.30,5.26
6.6,1.29,5.73
5.5,1.28,5.55
5.5,1.34,5.87
5.0,1.28,5.71
4.4,1.23,5.72
4.7,1.27,5.86
5.5,1.27,5.68
6.4,1.25,5.50
6.3,1.31,5.43
6.0,1.25,5.27
5.8,1.30,4.97
5.4,1.26,5.28
6.1,1.24,5.42
5.3,1.21,5.15
6.8,1.23,4.94
8.2,1.20,4.96
8.3,1.28,4.94
7.2,1.26,5.06
7.6,1.12,4.95
7.8,1.25,5.06
7.0,1.21,5.35
6.6,1.25,5.37
6.9,1.16,5.36
6.9,1.21,5.32
7.3,1.19,5.26
6.8,1.22,5.47
6.9,1.27,5.15
7.4,1.28,5.29
7.0,1.18,5.07
7.4,1.24,5.08
7.7,1.16,4.99
6.9,1.14,4.73
7.8,1.16,4.99
8.1,1.15,4.83
8.0,1.26,4.84
7.5,1.19,4.76
8.0,1.24,4.72
