YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
2007,01,04,10,00,243,12.3,15.6,3.37,10.00,6.45,999,989.6,4.9,4.0,999.0,99.0,99.00
2007,01,04,11,00,245,12.0,15.0,3.98,8.33,6.45,999,989.9,4.8,4.0,999.0,99.0,99.00
2007,01,04,12,00,243,12.9,16.2,3.91,8.33,6.46,999,990.0,4.8,4.0,999.0,99.0,99.00
2007,01,04,13,00,244,12.6,15.8,4.00,8.33,6.74,999,990.1,4.8,4.0,999.0,99.0,99.00
2007,01,04,14,00,239,10.9,13.6,4.28,10.81,6.96,999,990.1,4.6,4.0,999.0,99.0,99.00
2007,01,04,15,00,250,10.5,13.4,4.24,10.81,7.13,999,989.9,3.8,4.0,999.0,99.0,99.00
2007,01,04,16,00,235,10.3,12.2,4.67,10.81,7.66,999,989.2,4.0,4.0,999.0,99.0,99.00
2007,01,04,17,00,241,11.5,14.0,4.47,11.43,7.33,999,989.4,4.0,4.0,999.0,99.0,99.00
2007,01,04,18,00,248,10.5,13.0,4.35,11.43,7.60,999,989.2,4.1,4.0,999.0,99.0,99.00
2007,01,04,19,00,243,9.7,13.1,5.17,11.43,8.26,999,989.6,4.2,4.0,999.0,99.0,99.00
2007,01,04,20,00,234,10.4,12.7,4.80,12.12,8.03,999,989.4,4.2,4.0,999.0,99.0,99.00
2007,01,04,21,00,231,12.6,16.3,4.81,12.12,7.82,999,989.2,3.6,3.9,999.0,99.0,99.00
2007,01,04,22,00,240,14.7,18.5,5.06,12.12,7.72,999,988.9,4.4,3.9,999.0,99.0,99.00
2007,01,04,23,00,245,14.8,18.7,5.11,12.12,7.70,999,988.6,3.9,4.0,999.0,99.0,99.00
2007,01,05,00,00,255,18.8,23.1,5.64,12.12,7.42,999,988.6,3.0,3.9,999.0,99.0,99.00
2007,01,05,01,00,255,15.6,20.1,6.30,12.90,8.03,999,990.0,2.6,3.9,999.0,99.0,99.00
2007,01,05,02,00,253,16.5,19.9,6.08,12.12,7.83,999,990.5,3.5,3.9,999.0,99.0,99.00
2007,01,05,03,00,249,15.2,18.5,6.36,12.12,8.30,999,991.2,3.4,3.9,999.0,99.0,99.00
2007,01,05,04,00,244,14.5,18.3,6.68,12.12,8.40,999,991.7,2.9,3.9,999.0,99.0,99.00
2007,01,05,05,00,258,13.1,15.9,7.49,12.90,9.16,999,992.6,2.1,3.9,999.0,99.0,99.00
2007,01,05,06,00,268,13.6,16.8,6.45,13.79,8.65,999,993.4,2.9,3.9,999.0,99.0,99.00
2007,01,05,07,00,260,13.3,16.4,6.49,12.90,8.61,999,994.2,3.5,3.9,999.0,99.0,99.00
